building_id,name,lat,lng
burnham_310,Burnham 310,40.1130241,-88.234747
burrill_hall,Burrill Hall,40.1092941,-88.2248799
busey_bank,Busey Bank,40.1165461,-88.2447178
busey_hall,Busey Hall,40.1056194,-88.2226567
business_instructional_facility,Business Instructional Facility,40.1035834,-88.2309554
byers_vacuum,Byers Vacuum,40.1161463,-88.2389886
c10,C10,40.108232,-88.2315424
c7,C7,40.1087795,-88.2308257
cpm_apartments,CPM Apartments,40.1093024,-88.2399672
cpm_illinois_court,CPM Illinois Court,40.1094663,-88.2183566
csl_plasma,CSL Plasma,40.0987006,-88.247813
cvs_pharmacy,CVS Pharmacy,40.1095624,-88.2443207
campbell_hall,Campbell Hall,40.1150203,-88.22354
campus_bike_center,Campus Bike Center,40.1038303,-88.2404617
campus_center,Campus Center,40.1111676,-88.2309803
campus_honors_program,Campus Honors Program,40.1067035,-88.2246076
campus_instructional_facility,Campus Instructional Facility,40.1124626,-88.2282767
campus_recreation_center_east,Campus Recreation Center East,40.1047755,-88.2219668
canopy_club,Canopy Club,40.1066935,-88.2233979
car_x,Car-X,40.116026,-88.2301676
carle_foundation_hospital_north_building,Carle Foundation Hospital North Building,40.1173922,-88.2154771
carle_foundation_hospital_south_clinic,Carle Foundation Hospital South Clinic,40.1159704,-88.2146827
carle_neuroscience_institute,Carle Neuroscience Institute,40.1179786,-88.2189053
carr_hall,Carr Hall,40.1002851,-88.220967
carriage_lane,Carriage Lane,40.1103299,-88.2170071
carriage_way,Carriage Way,40.1101039,-88.2173182
central_illinois_bakehouse,Central Illinois Bakehouse,40.1180383,-88.2385522
central_illinois_mosque_and_islamic_center,Central Illinois Mosque and Islamic Center,40.1116578,-88.2189395
central_receiving_building,Central Receiving Building,40.0967745,-88.2434221
ceramics_building,Ceramics Building,40.1116939,-88.2242605
ceramics_kiln_house,Ceramics Kiln House,40.1116275,-88.2247007
chabad_center_for_jewish_life_and_living,Chabad Center for Jewish Life and Living,40.1048839,-88.2362877
champaign_armory,Champaign Armory,40.1170338,-88.2375571
champaign_county_chamber_of_commerce,Champaign County Chamber of Commerce,40.0978131,-88.2471576
champaign_fire_station_1,Champaign Fire Station #1,40.1140027,-88.2458653
champaign_police_department,Champaign Police Department,40.1167484,-88.2392814
champaign_public_library,Champaign Public Library,40.1112979,-88.245911
channing_murray_foundation,Channing-Murray Foundation,40.106772,-88.2252008
chase,Chase,40.116052,-88.245678
chemical_life_sciences_building_a,Chemical & Life Sciences Building A,40.1075314,-88.2242568
chemical_life_sciences_building_b_c,Chemical & Life Sciences Building B & C,40.1081775,-88.2245164
chemistry_annex,Chemistry Annex,40.1078109,-88.2260761
chez_veterans_center,Chez Veterans Center,40.1063181,-88.2203868
chi_omega,Chi Omega,40.1072979,-88.2292662
child_development_building,Child Development Building,40.1056205,-88.2219298
chiller_plant,Chiller Plant,40.1151311,-88.226218
chongqing_house,Chongqing House,40.11667,-88.2226156
christie_clinic,Christie Clinic,40.1155985,-88.2439555
christie_clinic_leadership_center,Christie Clinic Leadership Center,40.1146258,-88.2460446
christie_clinic_radiation_oncology,Christie Clinic Radiation Oncology,40.1160886,-88.244855
church_street_square,Church Street Square,40.1179886,-88.2448471
circle_k,Circle K,40.1098894,-88.239012
circle_k_292815767,Circle K,40.1160651,-88.2297559
circle_k_523936746,Circle K,40.1160716,-88.229409
circle_k_620401496,Circle K,40.1110022,-88.2187841
circle_k_620401497,Circle K,40.110842,-88.2190334
circle_k_620963240,Circle K,40.1098907,-88.2393561
circle_k_898176306,Circle K,40.10204,-88.2442509
circle_k_898176307,Circle K,40.101797,-88.2443348
city_building,City Building,40.1164953,-88.2430645
clark_hall,Clark Hall,40.1035828,-88.23402
clark_quad_west_apartments,Clark Quad West Apartments,40.1156156,-88.2328156
clutch_cuts,Clutch Cuts,40.1152183,-88.2433207
coble_hall,Coble Hall,40.1087542,-88.2292828
cohen_center_for_jewish_life,Cohen Center for Jewish Life,40.1087548,-88.2316111
coler_crossing,Coler Crossing,40.110406,-88.2163283
community_united_church_of_christ,Community United Church of Christ,40.1082567,-88.2306591
computing_applications_building,Computing Applications Building,40.1124293,-88.2298769
conrad_s_grill,Conrad's Grill,40.1099674,-88.2351699
cooperative_nursery_school,Cooperative Nursery School,40.1112153,-88.2149186
coordinated_science_laboratory,Coordinated Science Laboratory,40.1149318,-88.2267559
corson_music,Corson Music,40.1160172,-88.2391716
cowboy_monkey,Cowboy Monkey,40.1175033,-88.2431482
cream_flutter,Cream & Flutter,40.1168338,-88.2421762
dd_fish,DD Fish,40.1128209,-88.239191
digs,DIGS,40.1129066,-88.2413157
dq_grill_chill,DQ Grill & Chill,40.1161295,-88.2202774
dance_administration_building,Dance Administration Building,40.1056553,-88.2205817
dance_studio,Dance Studio,40.1056768,-88.2199435
dandy_hound,Dandy Hound,40.1172237,-88.2430712
daniels_hall,Daniels Hall,40.1110134,-88.2218928
dankle_brunson_lee_family_dentistry,Dankle-Brunson-Lee Family Dentistry,40.1127695,-88.243868
davenport_hall,Davenport Hall,40.107215,-88.2262013
david_kinley_hall,David Kinley Hall,40.1036124,-88.228405
delta_chi,Delta Chi,40.1046124,-88.2390823
delta_delta_delta,Delta Delta Delta,40.1071927,-88.231163
delta_gamma,Delta Gamma,40.105588,-88.225122
delta_kappa_epsilon_fraternity,Delta Kappa Epsilon Fraternity,40.1051178,-88.2341743
delta_kappa_epsilon_fraternity_house,Delta Kappa Epsilon Fraternity House,40.1034786,-88.2172817
delta_tau_delta_fraternity_house,Delta Tau Delta Fraternity House,40.1086581,-88.2331767
delta_upsilon,Delta Upsilon,40.1057155,-88.233886
delta_zeta,Delta Zeta,40.1087495,-88.2372836
delta_zeta_sorority_house,Delta Zeta Sorority House,40.1039922,-88.2167485
department_of_african_american_studies,Department of African American Studies,40.1057187,-88.2240872
department_of_latina_latino_studies,Department of Latina/Latino Studies,40.10668,-88.2248297
digital_computer_laboratory,Digital Computer Laboratory,40.1131539,-88.2264551
dim_sum_house,Dim Sum House,40.1104736,-88.2333088
disability_resources_and_educational_services_dres,Disability Resources and Educational Services (DRES),40.103233,-88.2420067
division_of_public_safety,Division of Public Safety,40.1130318,-88.2234114
dixon_graphics_commercial_printing,Dixon Graphics Commercial Printing,40.1085039,-88.2441771
dixon_graphics_screen_printing,Dixon Graphics Screen Printing,40.1129409,-88.2432037
do_it_best,Do it Best,40.1123095,-88.2444517
dollar_general,Dollar General,40.1194738,-88.2197843
don_moyer_boys_girls_club,Don Moyer Boys & Girls Club,40.1170234,-88.2367306
doris_kelly_christopher_hall,Doris Kelly Christopher Hall,40.1062908,-88.2196473
dr_anita_b_pride_chiropractic_physician,"Dr. Anita B. Pride, Chiropractic Physician",40.1167487,-88.2385515
dunkin,Dunkin',40.1104955,-88.2439385
early_child_development_laboratory,Early Child Development Laboratory,40.1055857,-88.2207417
eastview_apartments,Eastview Apartments,40.110979,-88.2185589
eden_supportive_living,Eden Supportive Living,40.1177789,-88.2465887
education_building,Education Building,40.1020773,-88.2296394
edward_r_madigan_laboratory,Edward R. Madigan Laboratory,40.1038059,-88.223822
electrical_and_computer_engineering_building,Electrical and Computer Engineering Building,40.1149331,-88.2282421
elliott_counselling_group,Elliott Counselling Group,40.1150545,-88.2479973
emerald_city_lounge,Emerald City Lounge,40.1169246,-88.2384495
emmanuel_memorial_episcopal_church,Emmanuel Memorial Episcopal Church,40.1165995,-88.2463554
engineering_hall,Engineering Hall,40.1109069,-88.2269804
engineering_sciences_building,Engineering Sciences Building,40.1124444,-88.2230859
english_building,English Building,40.1075589,-88.2281563
environmental_health_and_safety_building,Environmental Health and Safety Building,40.1120677,-88.22095
espresso_royale,Espresso Royale,40.1068227,-88.2236769
esquire_lounge,Esquire Lounge,40.1166851,-88.2422329
europa_house,Europa House,40.1076892,-88.2180652
europa_house_264252195,Europa House,40.1079281,-88.2180708
evans_hall,Evans Hall,40.1056203,-88.2233484
evans_scholars_house,Evans Scholars House,40.106143,-88.2356607
everitt_laboratory,Everitt Laboratory,40.1109099,-88.2282574
executive_center,Executive Center,40.1169958,-88.2438973
expanding_children_s_hearing_opportunities,Expanding Children’s Hearing Opportunities,40.1171057,-88.2179583
f29,F29,40.1037779,-88.2224985
family_service,Family Service,40.1121344,-88.2471589
fannie_may,Fannie May,40.1123142,-88.2431232
far_east_grocery,Far East Grocery,40.1157338,-88.2323424
farm_house,Farm House,40.1003566,-88.2186946
farren_s_pub_eatery,Farren's Pub & Eatery,40.1171281,-88.2426201
fiesta_cafe,Fiesta Cafe,40.1147731,-88.2384771
first_armory_residences,First & Armory Residences,40.1056484,-88.238425
first_armory_residences_235244487,First & Armory Residences,40.1059582,-88.2382658
first_federal,First Federal,40.1006586,-88.2447482
first_financial_bank,First Financial Bank,40.1029039,-88.2442159
first_mennonite_church,First Mennonite Church,40.1130258,-88.2196622
first_mid_bank_trust,First Mid Bank & Trust,40.1184979,-88.2442627
first_presbyterian_church,First Presbyterian Church,40.1185363,-88.2472111
first_presbyterian_church_of_urbana,First Presbyterian Church of Urbana,40.110929,-88.2149831
first_street_antiques,First Street Antiques,40.1150801,-88.2384328
first_united_methodist_church,First United Methodist Church,40.1185432,-88.2463609
flagg_hall,Flagg Hall,40.1027792,-88.2339533
flats_on_white,Flats on White,40.1146464,-88.2366002
flora_gems,Flora Gems,40.098317,-88.2468759
foellinger_auditorium,Foellinger Auditorium,40.1059511,-88.2272174
food_service_building,Food Service Building,40.1099418,-88.2217437
forage_kitchen,Forage Kitchen,40.1100811,-88.2317376
four_breakfast_more,Four Breakfast & More,40.110059,-88.2332643
fourth_street_house,Fourth Street House,40.1155931,-88.2333163
fuad_s_creative_hair_design,Fuad's Creative Hair Design,40.1121207,-88.238949
funk_library,Funk Library,40.1028356,-88.2251329
g_mart_comics,G-Mart Comics,40.1171868,-88.2417134
ghr_engineers_associates_inc,"GHR Engineers & Associates, Inc.",40.0964038,-88.2452052
gameday_spirit_fanstore,Gameday Spirit Fanstore,40.0976986,-88.2444063
gamma_phi_beta,Gamma Phi Beta,40.1062622,-88.2227746
garage_car_pool,Garage/Car Pool,40.0964556,-88.2421723
gasoline_alley_inc,"Gasoline Alley, Inc.",40.1123372,-88.2390375
gender_women_s_studies,Gender & Women's Studies,40.1056937,-88.2246899
geological_survey_laboratory,Geological Survey Laboratory,40.1043456,-88.2411522
gies_welcome_center,Gies Welcome Center,40.1036366,-88.2305879
gillespie_apts,Gillespie Apts,40.1076204,-88.2373817
glass_fx,Glass FX,40.1152005,-88.2383373
glenn_poor_s_tv_service,Glenn Poor's TV Service,40.1124604,-88.2155465
golden_wok,Golden Wok,40.1160072,-88.2328818
graduate_school_of_library_and_information_science,Graduate School of Library and Information Science,40.1076551,-88.2315057
grainger_engineering_library,Grainger Engineering Library,40.112443,-88.2268606
green_balconies,Green Balconies,40.1117466,-88.2309454
green_st_realty,Green St Realty,40.1104197,-88.2444437
greencrest_apartments,Greencrest Apartments,40.1108415,-88.2171395
greencrest_apartments_904629513,Greencrest Apartments,40.1108575,-88.216949
greener_goods_shop_refillery,Greener Goods Shop + Refillery,40.1158228,-88.2432955
gregory_hall,Gregory Hall,40.1056859,-88.2281059
gregory_place_east,Gregory Place East,40.1064926,-88.2211587
gregory_place_west,Gregory Place West,40.1064919,-88.2218726
gregory_towers,Gregory Towers,40.1044285,-88.2337734
guido_s,Guido's,40.1178504,-88.2433105
here_champaign,HERE Champaign,40.1105528,-88.2340311
halfway_house,Halfway House,40.1089339,-88.2257665
hall_insurance_services,Hall Insurance Services,40.1080166,-88.2436824
hambrick_s_company_inc,"Hambrick's & Company, Inc.",40.1190641,-88.2385547
hamilton_walker_s,Hamilton Walker's,40.1174924,-88.2438958
hampton_inn_champaign_urbana,Hampton Inn Champaign/Urbana,40.1170782,-88.2247185
harding_band_building,Harding Band Building,40.1047686,-88.2307498
harker_hall,Harker Hall,40.1091996,-88.2266697
harvest_house,Harvest House,40.1056948,-88.2162194
haypenny_market,Haypenny Market,40.1168957,-88.2418513
healey_place,Healey Place,40.111137,-88.2390432
hendrick_house,Hendrick House,40.110862,-88.2199155
henry_administration_building,Henry Administration Building,40.1083802,-88.2282366
henry_ahrens_house,Henry Ahrens House,40.1165611,-88.2356684
henry_dale_betty_smith_football_center,Henry Dale & Betty Smith Football Center,40.0998778,-88.2341168
hickory_point_bank,Hickory Point Bank,40.1175365,-88.2454734
